"person_id","preference","region"
281,"Tea","Rural"
282,"Coffee","Urban"
283,"Coffee","Urban"
284,"Tea","Urban"
285,"Coffee","Urban"
286,"Coffee","Urban"
287,"Coffee","Urban"
288,"Coffee","Urban"
289,"Tea","Urban"
290,"Tea","Rural"
291,"Coffee","Urban"
292,"Tea","Urban"
293,"Coffee","Urban"
294,"Tea","Rural"
295,"Tea","Rural"
296,"Coffee","Rural"
297,"Coffee","Rural"
298,"Coffee","Urban"
299,"Tea","Urban"
300,"Tea","Rural"
301,"Coffee","Rural"
302,"Tea","Urban"
303,"Coffee","Rural"
304,"Tea","Rural"
305,"Tea","Rural"
306,"Coffee","Urban"
307,"Tea","Urban"
308,"Coffee","Urban"
309,"Coffee","Urban"
310,"Coffee","Urban"
311,"Coffee","Urban"
312,"Coffee","Urban"
313,"Tea","Rural"
314,"Coffee","Urban"
315,"Coffee","Urban"
316,"Coffee","Rural"
317,"Tea","Rural"
318,"Tea","Urban"
319,"Coffee","Urban"
320,"Tea","Rural"
321,"Tea","Rural"
322,"Tea","Urban"
323,"Coffee","Urban"
324,"Coffee","Rural"
325,"Tea","Urban"
326,"Coffee","Urban"
327,"Tea","Rural"
328,"Coffee","Urban"
329,"Coffee","Urban"
330,"Coffee","Rural"
331,"Coffee","Rural"
332,"Coffee","Urban"
333,"Tea","Rural"
334,"Coffee","Rural"
335,"Tea","Urban"
336,"Tea","Urban"
337,"Tea","Rural"
338,"Coffee","Rural"
339,"Coffee","Rural"
340,"Coffee","Rural"
341,"Coffee","Urban"
342,"Coffee","Urban"
343,"Coffee","Urban"
344,"Coffee","Urban"
345,"Coffee","Urban"
346,"Coffee","Urban"
347,"Tea","Rural"
348,"Coffee","Urban"
349,"Coffee","Urban"
350,"Coffee","Rural"
351,"Tea","Urban"
352,"Coffee","Rural"
353,"Coffee","Urban"
354,"Coffee","Urban"
355,"Tea","Rural"
356,"Coffee","Rural"
357,"Coffee","Rural"
358,"Coffee","Urban"
359,"Tea","Urban"
360,"Tea","Rural"
361,"Coffee","Urban"
362,"Tea","Urban"
363,"Tea","Rural"
364,"Tea","Urban"
365,"Coffee","Urban"
366,"Coffee","Rural"
367,"Coffee","Urban"
368,"Tea","Urban"
369,"Tea","Urban"
370,"Tea","Urban"
371,"Coffee","Urban"
372,"Coffee","Urban"
373,"Tea","Rural"
374,"Coffee","Urban"
375,"Coffee","Urban"
376,"Coffee","Rural"
377,"Coffee","Rural"
378,"Tea","Urban"
379,"Coffee","Urban"
380,"Tea","Rural"
381,"Tea","Urban"
382,"Tea","Rural"
383,"Tea","Urban"
384,"Tea","Rural"
385,"Coffee","Urban"
386,"Coffee","Rural"
387,"Coffee","Urban"
388,"Tea","Urban"
389,"Coffee","Urban"
390,"Tea","Urban"
391,"Tea","Rural"
392,"Coffee","Urban"
393,"Coffee","Rural"
394,"Coffee","Rural"
395,"Coffee","Urban"
396,"Coffee","Urban"
397,"Coffee","Urban"
398,"Coffee","Urban"
399,"Coffee","Urban"
400,"Coffee","Rural"
401,"Tea","Rural"
402,"Coffee","Urban"
403,"Coffee","Rural"
404,"Tea","Urban"
405,"Coffee","Urban"
406,"Coffee","Urban"
407,"Coffee","Rural"
408,"Coffee","Urban"
409,"Coffee","Urban"
410,"Coffee","Rural"
411,"Coffee","Urban"
412,"Tea","Rural"
413,"Tea","Urban"
414,"Coffee","Urban"
415,"Coffee","Urban"
416,"Coffee","Urban"
417,"Coffee","Rural"
418,"Coffee","Urban"
419,"Coffee","Urban"
420,"Tea","Urban"
421,"Coffee","Urban"
422,"Coffee","Rural"
423,"Coffee","Urban"
424,"Coffee","Urban"
425,"Coffee","Rural"
426,"Tea","Rural"
427,"Coffee","Urban"
428,"Coffee","Urban"
429,"Coffee","Urban"
430,"Tea","Rural"
431,"Coffee","Rural"
432,"Tea","Urban"
433,"Tea","Urban"
434,"Tea","Rural"
435,"Coffee","Urban"
436,"Coffee","Rural"
437,"Tea","Urban"
438,"Tea","Urban"
439,"Coffee","Urban"
440,"Coffee","Urban"
441,"Tea","Urban"
442,"Coffee","Urban"
443,"Tea","Rural"
444,"Tea","Urban"
445,"Coffee","Rural"
446,"Coffee","Rural"
447,"Tea","Rural"
448,"Coffee","Urban"
449,"Coffee","Urban"
450,"Tea","Rural"
451,"Tea","Urban"
452,"Coffee","Urban"
453,"Coffee","Urban"
454,"Tea","Urban"
455,"Coffee","Urban"
456,"Coffee","Rural"
457,"Coffee","Rural"
458,"Coffee","Rural"
459,"Coffee","Urban"
460,"Coffee","Urban"
461,"Tea","Rural"
462,"Coffee","Urban"
463,"Tea","Urban"
464,"Coffee","Urban"
465,"Tea","Urban"
466,"Coffee","Urban"
467,"Coffee","Urban"
468,"Tea","Rural"
469,"Tea","Urban"
470,"Tea","Rural"
471,"Tea","Urban"
472,"Coffee","Rural"
473,"Tea","Urban"
474,"Tea","Rural"
475,"Tea","Rural"
476,"Tea","Urban"
477,"Tea","Rural"
478,"Tea","Urban"
479,"Coffee","Urban"
480,"Tea","Rural"
481,"Coffee","Urban"
482,"Coffee","Rural"
483,"Coffee","Urban"
484,"Coffee","Rural"
485,"Coffee","Rural"
486,"Coffee","Urban"
487,"Tea","Urban"
488,"Coffee","Rural"
489,"Coffee","Urban"
490,"Tea","Rural"
491,"Coffee","Rural"
492,"Tea","Urban"
493,"Coffee","Urban"
494,"Tea","Rural"
495,"Coffee","Urban"
496,"Tea","Rural"
497,"Tea","Urban"
498,"Coffee","Urban"
499,"Tea","Rural"
500,"Coffee","Rural"
501,"Coffee","Urban"
502,"Coffee","Urban"
503,"Coffee","Urban"
504,"Coffee","Urban"
505,"Tea","Urban"
506,"Tea","Urban"
507,"Tea","Urban"
508,"Coffee","Urban"
509,"Coffee","Rural"
510,"Coffee","Urban"
511,"Coffee","Urban"
512,"Coffee","Urban"
513,"Coffee","Rural"
514,"Tea","Urban"
515,"Tea","Rural"
516,"Coffee","Urban"
517,"Tea","Urban"
518,"Coffee","Rural"
519,"Coffee","Urban"
520,"Tea","Rural"
521,"Coffee","Urban"
522,"Coffee","Urban"
523,"Coffee","Urban"
524,"Tea","Urban"
525,"Coffee","Urban"
526,"Tea","Rural"
527,"Tea","Rural"
528,"Coffee","Urban"
529,"Coffee","Rural"
530,"Tea","Urban"
531,"Tea","Rural"
532,"Coffee","Rural"
533,"Coffee","Urban"
534,"Coffee","Rural"
535,"Tea","Urban"
536,"Tea","Rural"
537,"Tea","Urban"
538,"Coffee","Rural"
539,"Tea","Urban"
540,"Tea","Urban"
541,"Coffee","Rural"
542,"Coffee","Urban"
543,"Coffee","Rural"
544,"Coffee","Urban"
545,"Tea","Rural"
546,"Coffee","Rural"
547,"Tea","Urban"
548,"Tea","Rural"
549,"Coffee","Rural"
550,"Coffee","Urban"
551,"Tea","Urban"
552,"Coffee","Urban"
553,"Tea","Urban"
554,"Tea","Rural"
555,"Tea","Urban"
556,"Coffee","Urban"
557,"Tea","Rural"
558,"Tea","Urban"
559,"Coffee","Urban"
560,"Coffee","Urban"
561,"Coffee","Urban"
562,"Tea","Rural"
563,"Coffee","Rural"
564,"Coffee","Urban"
565,"Coffee","Rural"
566,"Coffee","Rural"
567,"Coffee","Urban"
568,"Coffee","Rural"
569,"Coffee","Urban"
570,"Coffee","Rural"
571,"Tea","Urban"
572,"Coffee","Rural"
573,"Tea","Urban"
574,"Coffee","Urban"
575,"Coffee","Rural"
576,"Coffee","Rural"
577,"Tea","Urban"
578,"Tea","Urban"
579,"Coffee","Urban"
580,"Tea","Urban"
581,"Coffee","Rural"
582,"Coffee","Rural"
583,"Coffee","Rural"
584,"Tea","Urban"
585,"Coffee","Rural"
586,"Coffee","Urban"
587,"Coffee","Urban"
588,"Tea","Rural"
589,"Coffee","Rural"
590,"Tea","Urban"
591,"Coffee","Urban"
592,"Coffee","Urban"
593,"Tea","Rural"
594,"Coffee","Urban"
595,"Coffee","Urban"
596,"Coffee","Rural"
597,"Coffee","Urban"
598,"Coffee","Urban"
599,"Coffee","Rural"
600,"Coffee","Urban"
601,"Coffee","Urban"
602,"Tea","Rural"
603,"Coffee","Urban"
604,"Coffee","Urban"
605,"Coffee","Urban"
606,"Coffee","Rural"
607,"Tea","Urban"
608,"Coffee","Rural"
609,"Tea","Urban"
610,"Tea","Urban"
611,"Tea","Rural"
612,"Coffee","Urban"
613,"Coffee","Urban"
614,"Coffee","Rural"
615,"Tea","Urban"
616,"Tea","Rural"
617,"Tea","Rural"
618,"Coffee","Rural"
619,"Coffee","Rural"
620,"Tea","Urban"
621,"Tea","Rural"
622,"Tea","Rural"
623,"Coffee","Rural"
624,"Coffee","Urban"
625,"Tea","Urban"
626,"Tea","Urban"
627,"Coffee","Urban"
628,"Coffee","Rural"
629,"Tea","Urban"
630,"Coffee","Urban"
631,"Tea","Rural"
632,"Coffee","Rural"
633,"Coffee","Urban"
634,"Coffee","Rural"
635,"Coffee","Urban"
636,"Coffee","Urban"
637,"Tea","Rural"
638,"Coffee","Rural"
639,"Coffee","Rural"
640,"Coffee","Urban"
641,"Coffee","Urban"
642,"Tea","Rural"
643,"Tea","Rural"
644,"Tea","Urban"
645,"Coffee","Urban"
646,"Coffee","Rural"
647,"Coffee","Rural"
648,"Coffee","Urban"
649,"Tea","Urban"
650,"Tea","Rural"
651,"Coffee","Rural"
652,"Tea","Rural"
653,"Coffee","Urban"
654,"Tea","Urban"
655,"Coffee","Rural"
656,"Coffee","Rural"
657,"Tea","Rural"
658,"Coffee","Urban"
659,"Tea","Urban"
660,"Coffee","Urban"
661,"Coffee","Rural"
662,"Coffee","Rural"
663,"Coffee","Urban"
664,"Coffee","Rural"
665,"Coffee","Urban"
666,"Coffee","Urban"
667,"Coffee","Rural"
668,"Coffee","Urban"
669,"Coffee","Rural"
670,"Coffee","Urban"
671,"Coffee","Urban"
672,"Coffee","Urban"
673,"Tea","Urban"
674,"Coffee","Urban"
675,"Coffee","Urban"
676,"Tea","Urban"
677,"Tea","Rural"
678,"Coffee","Urban"
679,"Tea","Urban"
680,"Coffee","Urban"
681,"Tea","Rural"
682,"Tea","Rural"
683,"Coffee","Rural"
684,"Tea","Rural"
685,"Tea","Rural"
686,"Coffee","Urban"
687,"Coffee","Urban"
688,"Coffee","Urban"
689,"Coffee","Urban"
690,"Tea","Urban"
691,"Tea","Urban"
692,"Coffee","Rural"
693,"Tea","Urban"
694,"Tea","Urban"
695,"Coffee","Urban"
696,"Coffee","Urban"
697,"Coffee","Urban"
698,"Coffee","Urban"
699,"Coffee","Urban"
700,"Coffee","Urban"
701,"Tea","Rural"
702,"Coffee","Urban"
703,"Tea","Urban"
704,"Tea","Rural"
705,"Coffee","Urban"
706,"Coffee","Rural"
707,"Tea","Urban"
708,"Coffee","Urban"
709,"Tea","Urban"
710,"Coffee","Urban"
711,"Tea","Rural"
712,"Coffee","Urban"
713,"Tea","Rural"
714,"Coffee","Rural"
715,"Tea","Urban"
716,"Coffee","Urban"
717,"Coffee","Urban"
718,"Coffee","Urban"
719,"Tea","Rural"
720,"Coffee","Urban"
721,"Coffee","Urban"
722,"Coffee","Rural"
723,"Tea","Rural"
724,"Coffee","Rural"
725,"Tea","Rural"
726,"Coffee","Rural"
727,"Coffee","Rural"
728,"Coffee","Rural"
729,"Coffee","Rural"
730,"Tea","Urban"
731,"Coffee","Urban"
732,"Tea","Rural"
733,"Coffee","Rural"
734,"Coffee","Rural"
735,"Coffee","Urban"
736,"Tea","Urban"
737,"Tea","Rural"
738,"Tea","Rural"
739,"Coffee","Urban"
740,"Coffee","Urban"
741,"Coffee","Rural"
742,"Coffee","Urban"
743,"Coffee","Urban"
744,"Coffee","Urban"
745,"Coffee","Urban"
746,"Coffee","Urban"
747,"Coffee","Rural"
748,"Coffee","Urban"
749,"Tea","Rural"
750,"Coffee","Rural"
751,"Tea","Urban"
752,"Tea","Urban"
753,"Tea","Urban"
754,"Coffee","Urban"
755,"Tea","Urban"
756,"Tea","Urban"
757,"Coffee","Urban"
758,"Coffee","Rural"
759,"Coffee","Urban"
760,"Coffee","Urban"
761,"Coffee","Urban"
762,"Tea","Urban"
763,"Coffee","Urban"
764,"Tea","Urban"
765,"Tea","Urban"
766,"Coffee","Urban"
767,"Tea","Urban"
768,"Coffee","Urban"
769,"Coffee","Rural"
770,"Tea","Rural"
771,"Coffee","Rural"
772,"Tea","Rural"
773,"Coffee","Rural"
774,"Coffee","Rural"
775,"Coffee","Urban"
776,"Tea","Urban"
777,"Tea","Urban"
778,"Tea","Urban"
779,"Coffee","Rural"
780,"Coffee","Rural"
781,"Coffee","Urban"
782,"Coffee","Rural"
783,"Coffee","Urban"
784,"Tea","Rural"
785,"Tea","Rural"
786,"Tea","Urban"
787,"Coffee","Urban"
788,"Coffee","Urban"
789,"Coffee","Urban"
790,"Coffee","Rural"
791,"Coffee","Rural"
792,"Coffee","Urban"
793,"Tea","Urban"
794,"Coffee","Urban"
795,"Coffee","Rural"
796,"Coffee","Urban"
797,"Tea","Urban"
798,"Coffee","Urban"
799,"Coffee","Urban"
800,"Tea","Urban"
801,"Coffee","Urban"
802,"Tea","Urban"
803,"Coffee","Urban"
804,"Coffee","Urban"
805,"Tea","Urban"
806,"Coffee","Rural"
807,"Coffee","Urban"
808,"Coffee","Urban"
809,"Coffee","Rural"
810,"Tea","Rural"
811,"Coffee","Urban"
812,"Tea","Rural"
813,"Tea","Urban"
814,"Coffee","Rural"
815,"Coffee","Rural"
816,"Coffee","Urban"
817,"Coffee","Urban"
818,"Coffee","Urban"
819,"Coffee","Urban"
820,"Coffee","Urban"
821,"Coffee","Rural"
822,"Coffee","Urban"
823,"Coffee","Rural"
824,"Coffee","Rural"
825,"Tea","Rural"
826,"Tea","Urban"
827,"Tea","Urban"
828,"Coffee","Urban"
829,"Coffee","Urban"
830,"Coffee","Rural"
831,"Coffee","Urban"
832,"Tea","Rural"
833,"Tea","Urban"
834,"Coffee","Rural"
835,"Tea","Rural"
836,"Coffee","Urban"
837,"Tea","Rural"
838,"Tea","Rural"
839,"Tea","Urban"
840,"Coffee","Urban"
841,"Coffee","Rural"
842,"Tea","Rural"
843,"Coffee","Rural"
844,"Tea","Urban"
845,"Coffee","Urban"
846,"Coffee","Urban"
847,"Coffee","Rural"
848,"Tea","Urban"
849,"Tea","Urban"
850,"Tea","Urban"
851,"Coffee","Urban"
852,"Tea","Rural"
853,"Coffee","Rural"
854,"Tea","Rural"
855,"Coffee","Urban"
856,"Coffee","Urban"
857,"Coffee","Rural"
858,"Coffee","Urban"
859,"Coffee","Urban"
860,"Tea","Rural"
861,"Tea","Urban"
862,"Coffee","Urban"
863,"Tea","Rural"
864,"Coffee","Urban"
865,"Tea","Rural"
866,"Tea","Urban"
867,"Coffee","Urban"
868,"Tea","Urban"
869,"Coffee","Urban"
870,"Coffee","Urban"
871,"Coffee","Urban"
872,"Coffee","Urban"
873,"Coffee","Rural"
874,"Tea","Urban"
875,"Tea","Rural"
876,"Tea","Rural"
877,"Coffee","Urban"
878,"Coffee","Rural"
879,"Tea","Rural"
880,"Coffee","Rural"
881,"Tea","Urban"
882,"Tea","Rural"
883,"Coffee","Rural"
884,"Coffee","Urban"
885,"Tea","Rural"
886,"Coffee","Rural"
887,"Tea","Urban"
888,"Coffee","Urban"
889,"Coffee","Urban"
890,"Tea","Urban"
891,"Tea","Urban"
892,"Tea","Rural"
893,"Tea","Rural"
894,"Coffee","Urban"
895,"Coffee","Rural"
896,"Coffee","Rural"
897,"Tea","Urban"
898,"Tea","Urban"
899,"Coffee","Urban"
900,"Tea","Rural"
901,"Coffee","Rural"
902,"Tea","Urban"
903,"Tea","Rural"
904,"Coffee","Urban"
905,"Coffee","Rural"
906,"Tea","Urban"
907,"Tea","Rural"
908,"Tea","Rural"
909,"Coffee","Rural"
910,"Coffee","Urban"
911,"Tea","Urban"
912,"Coffee","Urban"
913,"Tea","Rural"
914,"Coffee","Urban"
915,"Coffee","Urban"
916,"Coffee","Rural"
917,"Tea","Urban"
918,"Coffee","Urban"
919,"Tea","Urban"
920,"Coffee","Urban"
921,"Coffee","Rural"
922,"Tea","Urban"
923,"Coffee","Urban"
924,"Coffee","Rural"
925,"Coffee","Rural"
926,"Coffee","Rural"
927,"Tea","Urban"
928,"Tea","Urban"
929,"Coffee","Urban"
930,"Coffee","Rural"
931,"Tea","Rural"
932,"Coffee","Urban"
933,"Coffee","Rural"
934,"Coffee","Urban"
935,"Coffee","Rural"
936,"Tea","Urban"
937,"Coffee","Urban"
938,"Tea","Rural"
939,"Coffee","Rural"
940,"Coffee","Urban"
941,"Tea","Rural"
942,"Tea","Urban"
943,"Coffee","Urban"
944,"Coffee","Urban"
945,"Tea","Urban"
946,"Coffee","Urban"
947,"Coffee","Urban"
948,"Coffee","Urban"
949,"Tea","Urban"
950,"Tea","Urban"
951,"Coffee","Urban"
952,"Coffee","Urban"
953,"Coffee","Rural"
954,"Coffee","Urban"
955,"Coffee","Urban"
956,"Tea","Rural"
957,"Coffee","Rural"
958,"Tea","Urban"
959,"Tea","Urban"
960,"Coffee","Urban"
961,"Coffee","Urban"
962,"Coffee","Urban"
963,"Coffee","Rural"
964,"Coffee","Urban"
965,"Tea","Rural"
966,"Tea","Urban"
967,"Coffee","Urban"
968,"Tea","Urban"
969,"Tea","Rural"
970,"Tea","Urban"
971,"Coffee","Rural"
972,"Tea","Urban"
973,"Tea","Rural"
974,"Coffee","Urban"
975,"Tea","Urban"
976,"Tea","Rural"
977,"Coffee","Rural"
978,"Tea","Urban"
979,"Coffee","Urban"
980,"Coffee","Urban"
981,"Tea","Urban"
982,"Coffee","Rural"
983,"Coffee","Rural"
984,"Coffee","Rural"
985,"Coffee","Rural"
986,"Coffee","Rural"
987,"Coffee","Urban"
988,"Coffee","Urban"
989,"Coffee","Urban"
990,"Coffee","Urban"
991,"Tea","Urban"
992,"Coffee","Urban"
993,"Coffee","Urban"
994,"Coffee","Urban"
995,"Coffee","Urban"
996,"Coffee","Rural"
997,"Coffee","Rural"
998,"Tea","Urban"
999,"Coffee","Rural"
1000,"Tea","Urban"
1001,"Coffee","Urban"
1002,"Coffee","Urban"
1003,"Coffee","Urban"
1004,"Tea","Rural"
1005,"Coffee","Rural"
1006,"Tea","Urban"
1007,"Tea","Rural"
1008,"Tea","Urban"
1009,"Tea","Urban"
1010,"Coffee","Urban"
1011,"Coffee","Urban"
1012,"Tea","Urban"
1013,"Tea","Urban"
1014,"Tea","Urban"
1015,"Coffee","Urban"
1016,"Tea","Rural"
1017,"Tea","Urban"
1018,"Tea","Rural"
1019,"Coffee","Urban"
1020,"Tea","Urban"
1021,"Tea","Urban"
1022,"Tea","Rural"
1023,"Coffee","Urban"
1024,"Coffee","Urban"
1025,"Coffee","Rural"
1026,"Tea","Urban"
1027,"Tea","Urban"
1028,"Tea","Urban"
1029,"Coffee","Urban"
1030,"Coffee","Urban"
1031,"Tea","Urban"
1032,"Coffee","Urban"
1033,"Coffee","Urban"
1034,"Coffee","Urban"
1035,"Tea","Rural"
1036,"Coffee","Urban"
1037,"Coffee","Urban"
1038,"Coffee","Urban"
1039,"Coffee","Urban"
1040,"Tea","Urban"
1041,"Coffee","Rural"
1042,"Tea","Rural"
1043,"Coffee","Urban"
1044,"Coffee","Urban"
1045,"Tea","Urban"
1046,"Coffee","Urban"
1047,"Coffee","Urban"
1048,"Coffee","Urban"
1049,"Coffee","Rural"
1050,"Coffee","Rural"
1051,"Coffee","Rural"
1052,"Coffee","Rural"
1053,"Coffee","Rural"
1054,"Coffee","Urban"
1055,"Coffee","Urban"
1056,"Coffee","Urban"
1057,"Coffee","Rural"
1058,"Coffee","Urban"
1059,"Tea","Urban"
1060,"Coffee","Rural"
1061,"Tea","Rural"
1062,"Tea","Urban"
1063,"Coffee","Urban"
1064,"Tea","Urban"
1065,"Coffee","Urban"
1066,"Coffee","Rural"
1067,"Coffee","Urban"
1068,"Coffee","Urban"
1069,"Tea","Rural"
1070,"Coffee","Urban"
1071,"Coffee","Rural"
1072,"Coffee","Rural"
1073,"Tea","Rural"
1074,"Tea","Rural"
1075,"Coffee","Rural"
1076,"Coffee","Rural"
1077,"Tea","Urban"
1078,"Coffee","Urban"
1079,"Coffee","Urban"
1080,"Coffee","Urban"
1081,"Coffee","Urban"
1082,"Tea","Urban"
1083,"Tea","Urban"
1084,"Tea","Urban"
1085,"Tea","Rural"
1086,"Coffee","Urban"
1087,"Tea","Urban"
1088,"Coffee","Urban"
1089,"Tea","Rural"
1090,"Coffee","Urban"
1091,"Tea","Rural"
1092,"Coffee","Urban"
1093,"Coffee","Urban"
1094,"Coffee","Urban"
1095,"Coffee","Rural"
1096,"Tea","Rural"
1097,"Coffee","Rural"
1098,"Tea","Rural"
1099,"Coffee","Urban"
1100,"Coffee","Urban"
